"CVE","Title","Severity","KBArticles","AffectedProductCount"
"CVE-2026-20944","Microsoft Word Remote Code Execution Vulnerability","8.4","","0"
"CVE-2026-20946","Microsoft Excel Remote Code Execution Vulnerability","7.8","","0"
"CVE-2026-20951","Microsoft SharePoint Server Remote Code Execution Vulnerability","7.8","","0"
"CVE-2026-20953","Microsoft Office Remote Code Execution Vulnerability","8.4","","0"
"CVE-2026-20955","Microsoft Excel Remote Code Execution Vulnerability","7.8","","0"
"CVE-2026-20956","Microsoft Excel Remote Code Execution Vulnerability","7.8","","0"
"CVE-2026-20959","Microsoft SharePoint Server Spoofing Vulnerability","4.6","","0"
"CVE-2026-20963","Microsoft SharePoint Remote Code Execution Vulnerability","8.8","","0"
"CVE-2026-20830","Capability Access Management Service (camsvc) Elevation of Privilege Vulnerability","7.0","","0"
"CVE-2026-21221","Capability Access Management Service (camsvc) Elevation of Privilege Vulnerability","7.0","","0"
"CVE-2026-21224","Azure Connected Machine Agent Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20947","Microsoft SharePoint Server Remote Code Execution Vulnerability","8.8","","0"
"CVE-2026-0907","Chromium: CVE-2026-0907 Incorrect security UI in Split View",,"","0"
"CVE-2026-0906","Chromium: CVE-2026-0906 Incorrect security UI",,"","0"
"CVE-2026-0905","Chromium: CVE-2026-0905 Insufficient policy enforcement in Network",,"","0"
"CVE-2026-0904","Chromium: CVE-2026-0904 Incorrect security UI in Digital Credentials",,"","0"
"CVE-2026-0903","Chromium: CVE-2026-0903 Insufficient validation of untrusted input in Downloads",,"","0"
"CVE-2026-0901","Chromium: CVE-2026-0901 Inappropriate implementation in Blink",,"","0"
"CVE-2026-0899","Chromium: CVE-2026-0899 Out of bounds memory access in V8",,"","0"
"CVE-2026-20843","Windows Routing and Remote Access Service (RRAS) Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20848","Windows SMB Server Elevation of Privilege Vulnerability","7.5","","0"
"CVE-2026-20849","Windows Kerberos Elevation of Privilege Vulnerability","7.5","","0"
"CVE-2026-20853","Windows WalletService Elevation of Privilege Vulnerability","7.4","","0"
"CVE-2026-20854","Windows Local Security Authority Subsystem Service (LSASS) Remote Code Execution Vulnerability","7.5","","0"
"CVE-2026-21219","Inbox COM Objects (Global Memory) Remote Code Execution Vulnerability","7.0","","0"
"CVE-2026-20861","Windows Management Services Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20862","Windows Management Services Information Disclosure Vulnerability","5.5","","0"
"CVE-2026-20863","Win32k Elevation of Privilege Vulnerability","7.0","","0"
"CVE-2026-20866","Windows Management Services Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20867","Windows Management Services Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20868","Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability","8.8","","0"
"CVE-2026-20870","Windows Win32 Kernel Subsystem Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20871","Desktop Windows Manager Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20872","NTLM Hash Disclosure Spoofing Vulnerability","6.5","","0"
"CVE-2026-20873","Windows Management Services Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20874","Windows Management Services Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2024-55414","Windows Motorola Soft Modem Driver Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20929","Windows HTTP.sys Elevation of Privilege Vulnerability","7.5","","0"
"CVE-2026-20931","Windows Telephony Service Elevation of Privilege Vulnerability","8.0","","0"
"CVE-2026-20935","Windows Virtualization-Based Security (VBS) Information Disclosure Vulnerability","6.2","","0"
"CVE-2026-20936","Windows NDIS Information Disclosure Vulnerability","4.3","","0"
"CVE-2026-20937","Windows File Explorer Information Disclosure Vulnerability","5.5","","0"
"CVE-2026-20939","Windows File Explorer Information Disclosure Vulnerability","5.5","","0"
"CVE-2026-20948","Microsoft Word Remote Code Execution Vulnerability","7.8","","0"
"CVE-2026-20949","Microsoft Excel Security Feature Bypass Vulnerability","7.8","","0"
"CVE-2026-20950","Microsoft Excel Remote Code Execution Vulnerability","7.8","","0"
"CVE-2026-20952","Microsoft Office Remote Code Execution Vulnerability","8.4","","0"
"CVE-2026-20957","Microsoft Excel Remote Code Execution Vulnerability","7.8","","0"
"CVE-2026-20958","Microsoft SharePoint Information Disclosure Vulnerability","5.4","","0"
"CVE-2026-20941","Host Process for Windows Tasks Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-21226","Azure Core shared client library for Python Remote Code Execution Vulnerability","7.5","","0"
"CVE-2026-0628","Chromium: CVE-2026-0628 Insufficient policy enforcement in WebView tag",,"","0"
"CVE-2026-21223","Microsoft Edge (Chromium-based) Security Feature Bypass Vulnerability",,"","0"
"CVE-2026-0908","Chromium: CVE-2026-0908 Use after free in ANGLE",,"","0"
"CVE-2026-0900","Chromium: CVE-2026-0900 Inappropriate implementation in V8",,"","0"
"CVE-2026-21520","Copilot Studio Information Disclosure Vulnerability","7.5","","0"
"CVE-2026-24304","Azure Resource Manager Elevation of Privilege Vulnerability","9.9","","0"
"CVE-2026-24306","Azure Front Door Elevation of Privilege Vulnerability","9.8","","0"
"CVE-2026-21524","Azure Data Explorer Information Disclosure Vulnerability","7.4","","0"
"CVE-2026-24305","Azure Entra ID Elevation of Privilege Vulnerability","9.3","","0"
"CVE-2026-24307","M365 Copilot Information Disclosure Vulnerability","9.3","","0"
"CVE-2026-21227","Azure Logic Apps Elevation of Privilege Vulnerability","8.2","","0"
"CVE-2026-21521","Word Copilot Information Disclosure Vulnerability","7.4","","0"
"CVE-2026-21264","Microsoft Account Spoofing Vulnerability","9.3","","0"
"CVE-2026-1220","Chromium: CVE-2026-1220 Race in V8",,"","0"
"CVE-2026-0902","Chromium: CVE-2026-0902 Inappropriate implementation in V8",,"","0"
"CVE-2025-68759","wifi: rtl818x: Fix potential memory leaks in rtl8180_init_rx_ring()","7.1","","0"
"CVE-2025-68763","crypto: starfive - Correctly handle return of sg_nents_for_len","5.5","","0"
"CVE-2025-68758","backlight: led-bl: Add devlink to supplier LEDs","5.5","","0"
"CVE-2025-68756","block: Use RCU in blk_mq_[un]quiesce_tagset() instead of set->tag_list_lock","7.1","","0"
"CVE-2025-68764","NFS: Automounted filesystems should inherit ro,noexec,nodev,sync flags","5.5","","0"
"CVE-2025-68755","staging: most: remove broken i2c driver","5.5","","0"
"CVE-2025-68765","mt76: mt7615: Fix memory leak in mt7615_mcu_wtbl_sta_add()","5.5","","0"
"CVE-2025-68753","ALSA: firewire-motu: add bounds check in put_user loop for DSP events","7.8","","0"
"CVE-2025-68766","irqchip/mchp-eic: Fix error code in mchp_eic_domain_alloc()","7.1","","0"
"CVE-2025-68757","drm/vgem-fence: Fix potential deadlock on release","5.5","","0"
"CVE-2026-21444","libtpms returns wrong initialization vector when certain symmetric ciphers are used","5.5","","0"
"CVE-2026-21509","Microsoft Office Security Feature Bypass Vulnerability","7.8","","0"
"CVE-2026-20831","Windows Ancillary Function Driver for WinSock Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-20960","PowerApps Desktop Client Remote Code Execution Vulnerability","8.0","","0"
"CVE-2026-1504","Chromium: CVE-2026-1504 Inappropriate implementation in Background Fetch API",,"","0"
