"CVE","Title","Severity","KBArticles","AffectedProductCount"
"CVE-2025-69873","ajv (Another JSON Schema Validator) before 8.18.0 is vulnerable to Regular Expression Denial of Service (ReDoS) when the $data option is enabled. The pattern keyword accepts runtime data via JSON Pointer syntax ($data reference), which is passed directly to the JavaScript RegExp() constructor without validation. An attacker can inject a malicious regex pattern (e.g., ""^(a|a)*$"") combined with crafted input to cause catastrophic backtracking. A 31-character payload causes approximately 44 seconds of CPU blocking, with each additional character doubling execution time. This enables complete denial of service with a single HTTP request against any API using ajv with $data: true for dynamic schema validation.","2.9","","0"
"CVE-2026-28420","Vim has Heap-based Buffer Overflow and OOB Read in :terminal","4.4","","0"
"CVE-2026-25541","Bytes is vulnerable to integer overflow in BytesMut::reserve","7.5","","0"
"CVE-2025-68121","Unexpected session resumption in crypto/tls","7.4","","0"
"CVE-2026-21519","Desktop Window Manager Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-21518","GitHub Copilot and Visual Studio Code Security Feature Bypass Vulnerability","8.8","","0"
"CVE-2026-21517","Windows App for Mac Installer Elevation of Privilege Vulnerability","4.7","","0"
"CVE-2026-21512","Azure DevOps Server Cross-Site Scripting Vulnerability","6.5","","0"
"CVE-2026-21259","Microsoft Excel Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-21258","Microsoft Excel Information Disclosure Vulnerability","5.5","","0"
"CVE-2026-21260","Microsoft Outlook Spoofing Vulnerability","7.5","","0"
"CVE-2026-21248","Windows Hyper-V Remote Code Execution Vulnerability","7.3","","0"
"CVE-2026-21247","Windows Hyper-V Remote Code Execution Vulnerability","7.3","","0"
"CVE-2026-21246","Windows Graphics Component Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-21242","Windows Subsystem for Linux Elevation of Privilege Vulnerability","7.0","","0"
"CVE-2026-21235","Windows Graphics Component Elevation of Privilege Vulnerability","7.3","","0"
"CVE-2026-21234","Windows Connected Devices Platform Service Elevation of Privilege Vulnerability","7.0","","0"
"CVE-2026-21236","Windows Ancillary Function Driver for WinSock Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-21218",".NET Spoofing Vulnerability","7.5","","0"
"CVE-2026-23655","Microsoft ACI Confidential Containers Information Disclosure Vulnerability","6.5","","0"
"CVE-2026-2320","Chromium: CVE-2026-2320 Inappropriate implementation in File input",,"","0"
"CVE-2026-21523","GitHub Copilot and Visual Studio Code Remote Code Execution Vulnerability","8.0","","0"
"CVE-2026-21229","Power BI Remote Code Execution Vulnerability","8.0","","0"
"CVE-2026-21533","Windows Remote Desktop Services Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-21513","MSHTML Framework Security Feature Bypass Vulnerability","8.8","","0"
"CVE-2026-0391","Microsoft Edge (Chromium-based) for Android Spoofing Vulnerability","6.5","","0"
"CVE-2026-1861","Chromium: CVE-2026-1861 Heap buffer overflow in libvpx",,"","0"
"CVE-2026-24300","Azure Front Door Elevation of Privilege Vulnerability","9.8","","0"
"CVE-2026-24302","Azure Arc Elevation of Privilege Vulnerability","8.6","","0"
"CVE-2026-21532","Azure Function Information Disclosure Vulnerability","8.2","","0"
"CVE-2026-21522","Microsoft ACI Confidential Containers Elevation of Privilege Vulnerability","6.7","","0"
"CVE-2026-2441","Chromium: CVE-2026-2441 Use after free in CSS",,"","0"
"CVE-2026-2323","Chromium: CVE-2026-2323 Inappropriate implementation in Downloads",,"","0"
"CVE-2026-0102","Microsoft Edge (Chromium-based) Defense in Depth Vulnerability","3.1","","0"
"CVE-2026-2319","Chromium: CVE-2026-2319 Race in DevTools",,"","0"
"CVE-2026-2316","Chromium: CVE-2026-2316 Insufficient policy enforcement in Frames",,"","0"
"CVE-2026-2314","Chromium: CVE-2026-2314 Heap buffer overflow in Codecs",,"","0"
"CVE-2026-21535","Microsoft Teams Information Disclosure Vulnerability","8.2","","0"
"CVE-2026-3063","Chromium: CVE-2026-3063 Inappropriate implementation in DevTools",,"","0"
"CVE-2026-21527","Microsoft Exchange Server Spoofing Vulnerability","6.5","","0"
"CVE-2026-21528","Azure IoT Explorer Information Disclosure Vulnerability","6.5","","0"
"CVE-2026-21531","Azure SDK for Python Remote Code Execution Vulnerability","9.8","","0"
